categorie,ca_ttc,ca_ht,annee,mois,mois_nom,date_id,hotel_id,hotel
HEBERGEMENT,788323.387,729456.267,2023,2,Fevrier,202302,2,BEL
RESTAURATION,31312.002,28973.815,2023,2,Fevrier,202302,2,BEL
BAR,14442.5,13364.024,2023,2,Fevrier,202302,2,BEL
DIVERS,15234.53,14096.91,2023,2,Fevrier,202302,2,BEL
HEBERGEMENT,810789.506,750244.754,2023,3,Mars,202303,2,BEL
RESTAURATION,21535.5,19927.362,2023,3,Mars,202303,2,BEL
BAR,13216.5,12229.574,2023,3,Mars,202303,2,BEL
DIVERS,21554.0,19944.48,2023,3,Mars,202303,2,BEL
HEBERGEMENT,1100966.545,1018753.165,2023,4,Avril,202304,2,BEL
RESTAURATION,32806.0,30356.251,2023,4,Avril,202304,2,BEL
BAR,16741.5,15491.348,2023,4,Avril,202304,2,BEL
DIVERS,16596.8,15357.453,2023,4,Avril,202304,2,BEL
HEBERGEMENT,2057223.355,1903602.623,2023,5,Mai,202305,2,BEL
RESTAURATION,58806.0,54414.731,2023,5,Mai,202305,2,BEL
BAR,27490.18,25437.383,2023,5,Mai,202305,2,BEL
DIVERS,24184.3,22378.366,2023,5,Mai,202305,2,BEL
HEBERGEMENT,2386539.343,2208327.327,2023,6,Juin,202306,2,BEL
RESTAURATION,47825.0,44253.724,2023,6,Juin,202306,2,BEL
BAR,22378.5,20707.412,2023,6,Juin,202306,2,BEL
DIVERS,21836.5,20205.886,2023,6,Juin,202306,2,BEL
HEBERGEMENT,4286072.087,3966014.7,2023,7,Juillet,202307,2,BEL
RESTAURATION,105913.0,98004.072,2023,7,Juillet,202307,2,BEL
BAR,23697.0,21927.455,2023,7,Juillet,202307,2,BEL
DIVERS,13784.901,12755.531,2023,7,Juillet,202307,2,BEL
HEBERGEMENT,4465141.137,4131711.981,2023,8,Aout,202308,2,BEL
RESTAURATION,96566.0,89355.047,2023,8,Aout,202308,2,BEL
BAR,21069.0,19495.697,2023,8,Aout,202308,2,BEL
DIVERS,14742.99,13642.075,2023,8,Aout,202308,2,BEL
HEBERGEMENT,2703984.954,2502068.061,2023,9,Septembre,202309,2,BEL
RESTAURATION,34273.5,31714.167,2023,9,Septembre,202309,2,BEL
BAR,14679.0,13582.863,2023,9,Septembre,202309,2,BEL
DIVERS,8900.42,8235.792,2023,9,Septembre,202309,2,BEL
HEBERGEMENT,2573330.547,2381170.118,2023,10,Octobre,202310,2,BEL
RESTAURATION,40482.0,37459.055,2023,10,Octobre,202310,2,BEL
BAR,23884.34,22100.806,2023,10,Octobre,202310,2,BEL
DIVERS,16248.23,15034.914,2023,10,Octobre,202310,2,BEL
HEBERGEMENT,1188425.966,1099681.657,2023,11,Novembre,202311,2,BEL
RESTAURATION,9943.0,9200.518,2023,11,Novembre,202311,2,BEL
BAR,24800.5,22948.553,2023,11,Novembre,202311,2,BEL
DIVERS,2962.4,2741.187,2023,11,Novembre,202311,2,BEL
HEBERGEMENT,1210203.605,1119833.075,2023,12,Decembre,202312,2,BEL
RESTAURATION,133651.682,123671.4,2023,12,Decembre,202312,2,BEL
BAR,18897.0,17485.89,2023,12,Decembre,202312,2,BEL
DIVERS,1244.925,1151.962,2023,12,Decembre,202312,2,BEL
HEBERGEMENT,888959.945,822577.907,2024,1,Janvier,202401,2,BEL
RESTAURATION,15370.0,14222.262,2024,1,Janvier,202401,2,BEL
BAR,14268.0,13202.554,2024,1,Janvier,202401,2,BEL
DIVERS,16552.88,15316.814,2024,1,Janvier,202401,2,BEL
