annee,mois,mois_nom,hotel_id,hotel,personnel,achats_consommation,services_exterieurs,autres_services_exterieurs,charges_diverses,charges_financieres,impots_taxes,dotations_amort,energie,eau,electricite,gaz,carburant,autres_exploit,total_charges
2024,1,Janvier,3,SOL,377288.851,56264.428,2428.764,4401.888,0.0,0.0,11562.241,0.0,100035.24,27164.225,52311.654,20551.096,8.265,6830.652,551981.412
2024,2,Fevrier,3,SOL,199202.407,88252.337,5901.213,1167.25,0.0,0.0,5142.747,0.0,100035.24,27164.225,52311.654,20551.096,8.265,7068.463,399701.194
2024,3,Mars,3,SOL,214125.25,8871.002,19100.746,73181.386,0.0,595137.626,5514.689,0.0,100035.24,27164.225,52311.654,20551.096,8.265,92282.132,1015965.939
2024,4,Avril,3,SOL,267357.366,191118.721,18270.804,6030.828,0.0,4608.889,7348.628,0.0,100035.24,27164.225,52311.654,20551.096,8.265,24301.632,594770.476
2024,5,Mai,3,SOL,306903.92,415848.314,5832.571,16748.948,0.0,0.0,7956.652,0.0,100035.24,27164.225,52311.654,20551.096,8.265,22581.519,853325.645
2024,6,Juin,3,SOL,330185.392,536348.712,14919.051,92946.103,16245.0,583571.21,8543.143,0.0,100035.24,27164.225,52311.654,20551.096,8.265,124110.154,1682793.851
2024,7,Juillet,3,SOL,544959.607,1141662.293,18533.918,19192.401,0.0,0.0,14048.328,0.0,100035.24,27164.225,52311.654,20551.096,8.265,37726.319,1838431.787
2024,8,Aout,3,SOL,326003.674,666092.669,12390.136,26008.977,0.0,0.0,9580.634,0.0,100035.24,27164.225,52311.654,20551.096,8.265,38399.113,1140111.33
2024,9,Septembre,3,SOL,348970.37,587672.571,11302.774,90780.876,0.0,563622.928,9077.973,0.0,100035.24,27164.225,52311.654,20551.096,8.265,102083.65,1711462.7319999998
2024,10,Octobre,3,SOL,479957.681,521981.664,4620.078,19261.648,0.0,1911.136,13380.397,0.0,100035.24,27164.225,52311.654,20551.096,8.265,23881.726,1141147.844
2024,11,Novembre,3,SOL,346487.729,308832.975,4673.68,48689.91,0.0,10508.243,9034.52,0.0,100035.24,27164.225,52311.654,20551.096,8.265,53363.59,828262.297
2024,12,Decembre,3,SOL,339456.354,356994.009,16478.698,72137.329,500.0,490709.119,8890.613,526196.755,100035.24,27164.225,52311.654,20551.096,8.265,89116.027,1911398.117
